,January,February,March,April,May,June,July,August,September,October,November,December,Total to date
Mediterranean,82,346,61,"1,244",95,10,230,684,268,432,105,203,"3,760"
Europe,0,1,2,15,2,2,11,81,11,6,5,3,139
Horn of Africa,5,39,42,0,0,0,0,0,0,8,0,0,94
Sahara,0,0,0,0,0,48,0,0,0,0,4,0,52
Caribbean,2,0,0,44,0,0,0,0,0,3,0,0,49
US-Mexico,9,11,6,8,8,22,15,29,25,11,12,0,244
Central America,0,0,8,0,0,12,0,0,6,1,3,0,30
Southeast Asia,63,0,8,0,333,0,0,24,61,0,4,0,736
East Asia,0,15,0,0,0,0,0,0,0,0,0,0,15
Sub-Saharan Africa,2,0,0,0,8,0,0,0,22,8,0,6,46
North Africa,12,0,16,0,0,0,0,0,0,0,26,11,65
Total,175,412,143,"1,311",446,94,256,818,393,469,159,223,"5,230"
